ambito_nombre,embalse_nombre,mes,2020,2021,media_5,media_10
Cantábrico Occidental,Salime,5,69.61727272727272,58.48571428571428,86.425,89.3533
Cantábrico Occidental,Salime,6,80.787,80.75,88.1038,88.21340000000001
Cantábrico Occidental,Salime,7,75.09375,77.255,82.9244,80.4919
Cantábrico Occidental,Salime,8,66.91666666666667,66.84200000000001,73.1692,69.85135
Cantábrico Occidental,Salime,9,57.18444444444444,51.785,60.063300000000005,59.783550000000005
Cantábrico Occidental,Salime,10,48.025,42.76,47.9476,50.3517
Cantábrico Occidental,Salime,11,47.285555555555554,41.28,50.7555,52.46255
Cantábrico Occidental,Salime,12,57.474444444444444,56.8575,60.084999999999994,56.619499999999995
Cantábrico Occidental,Tanes,1,68.13916666666667,68.75125,68.7481,70.66385
Cantábrico Occidental,Tanes,2,73.77499999999999,72.795,73.3215,74.161
Cantábrico Occidental,Tanes,3,82.74600000000001,83.825,80.61179999999999,80.59594999999999
Cantábrico Occidental,Tanes,4,85.0475,85.2925,86.23400000000001,86.55015
Cantábrico Occidental,Tanes,5,92.78272727272727,92.85857142857142,92.29180000000001,91.46195
Cantábrico Occidental,Tanes,6,96.766,97.06,95.40990000000001,95.0355
Cantábrico Occidental,Tanes,7,95.95750000000001,95.59,95.2757,92.55975000000001
Cantábrico Occidental,Tanes,8,86.92888888888889,89.414,85.1024,82.43285
Cantábrico Occidental,Tanes,9,75.81666666666666,76.47,76.14930000000001,71.8374
Cantábrico Occidental,Tanes,10,77.5725,72.06,71.2646,63.526700000000005
Cantábrico Occidental,Tanes,11,74.51,73.53,74.85249999999999,66.25489999999999
Cantábrico Occidental,Tanes,12,69.93555555555555,69.855,68.79400000000001,69.3703
Cantábrico Oriental,Añarbe,1,77.8525,78.94875,79.1587,77.795
Cantábrico Oriental,Añarbe,2,77.1925,80.5925,82.7625,80.0745
Cantábrico Oriental,Añarbe,3,81.92933333333333,80.263,84.8943,80.4242
Cantábrico Oriental,Añarbe,4,83.335,79.60875,84.8685,80.85499999999999
Cantábrico Oriental,Añarbe,5,84.68818181818182,80.82428571428571,84.5776,80.7435
Cantábrico Oriental,Añarbe,6,80.524,74.208,84.3151,80.25985
Cantábrico Oriental,Añarbe,7,78.2925,77.63499999999999,81.2122,77.4132
Cantábrico Oriental,Añarbe,8,77.77888888888889,78.424,78.2381,73.66454999999999
Cantábrico Oriental,Añarbe,9,73.38888888888889,74.34,75.97409999999999,70.55485
Cantábrico Oriental,Añarbe,10,79.275,73.68,75.9192,69.91275
Cantábrico Oriental,Añarbe,11,80.11777777777777,77.37,80.078,72.88345000000001
Cantábrico Oriental,Añarbe,12,79.24111111111111,79.6075,80.6318,77.36435
Cantábrico Oriental,Ibiur,1,95.83333333333333,100.0,86.0,80.0625
Cantábrico Oriental,Ibiur,2,93.75,96.875,94.375,88.75
Cantábrico Oriental,Ibiur,3,93.33333333333333,93.75,92.625,91.5625
Cantábrico Oriental,Ibiur,4,92.70833333333333,93.75,90.625,92.125
Cantábrico Oriental,Ibiur,5,94.31818181818181,91.07142857142857,92.5,92.375
Cantábrico Oriental,Ibiur,6,88.75,87.5,88.625,89.3125
Cantábrico Oriental,Ibiur,7,84.375,81.25,82.75,84.6875
Cantábrico Oriental,Ibiur,8,79.16666666666667,75.0,78.875,79.875
Cantábrico Oriental,Ibiur,9,75.0,75.0,75.0,75.9375
Cantábrico Oriental,Ibiur,10,68.75,62.5,69.0,68.8125
Cantábrico Oriental,Ibiur,11,69.44444444444444,65.0,71.125,68.375
Cantábrico Oriental,Ibiur,12,87.5,93.75,81.5,78.9375
Cantábrico Oriental,Ordunte,1,98.10416666666667,98.8625,86.0451,83.52185
Cantábrico Oriental,Ordunte,2,95.075,96.59,97.727,94.88624999999999
Cantábrico Oriental,Ordunte,3,98.48466666666667,98.636,98.9539,99.11335
Cantábrico Oriental,Ordunte,4,98.48416666666667,97.72625,98.5445,99.27225
Cantábrico Oriental,Ordunte,5,93.80090909090909,90.90857142857143,94.8623,96.79415
Cantábrico Oriental,Ordunte,6,83.63399999999999,77.27,89.1351,91.0214
Cantábrico Oriental,Ordunte,7,75.56875,73.86500000000001,81.4085,83.74969999999999
Cantábrico Oriental,Ordunte,8,67.67666666666668,64.546,72.86359999999999,75.50025000000001
Cantábrico Oriental,Ordunte,9,60.10222222222223,56.82,64.5916,66.72815
Cantábrico Oriental,Ordunte,10,59.09,50.0,59.63680000000001,58.4322
Cantábrico Oriental,Ordunte,11,61.614444444444445,49.089999999999996,63.001,58.06805000000001
Cantábrico Oriental,Ordunte,12,93.94,100.0,88.3184,78.3859
Cantábrico Oriental,San Antón,1,100.0,100.0,100.0,100.0
Cantábrico Oriental,San Antón,2,95.0,97.5,97.0,98.5
Cantábrico Oriental,San Antón,3,98.66666666666667,100.0,99.2,99.6
Cantábrico Oriental,San Antón,4,100.0,100.0,100.0,100.0
Cantábrico Oriental,San Antón,5,92.72727272727273,88.57142857142857,94.0,97.0
Cantábrico Oriental,San Antón,6,90.0,80.0,96.0,98.0
Cantábrico Oriental,San Antón,7,87.5,80.0,92.0,94.8
Cantábrico Oriental,San Antón,8,82.22222222222223,80.0,86.0,88.5
Cantábrico Oriental,San Antón,9,80.0,80.0,84.0,81.8
Cantábrico Oriental,San Antón,10,85.0,80.0,86.0,83.0
Cantábrico Oriental,San Antón,11,95.55555555555556,92.0,93.4,89.0
Cantábrico Oriental,San Antón,12,100.0,100.0,97.0,97.2
Cuenca Mediterránea Andaluza,Benínar,1,9.391666666666667,8.5325,12.619,13.284
Cuenca Mediterránea Andaluza,Benínar,2,10.053333333333333,9.525,13.5725,13.84175
Cuenca Mediterránea Andaluza,Benínar,3,10.37,10.0,14.999,14.7489
Cuenca Mediterránea Andaluza,Benínar,4,12.698333333333332,13.4925,15.553999999999998,15.55905
Cuenca Mediterránea Andaluza,Benínar,5,14.42909090909091,16.325714285714287,16.3947,15.641499999999999
Cuenca Mediterránea Andaluza,Benínar,6,10.474,10.791999999999998,15.857099999999999,14.7433
Cuenca Mediterránea Andaluza,Benínar,7,9.52,9.52,14.220400000000001,13.0126
Cuenca Mediterránea Andaluza,Benínar,8,9.168888888888889,9.52,13.2048,11.76315
Cuenca Mediterránea Andaluza,Benínar,9,8.291111111111112,8.73,11.9055,10.750499999999999
Cuenca Mediterránea Andaluza,Benínar,10,7.94,7.94,11.1756,10.3846
Cuenca Mediterránea Andaluza,Benínar,11,7.940000000000001,7.94,11.190999999999999,11.0559
Cuenca Mediterránea Andaluza,Benínar,12,7.940000000000001,7.94,11.270999999999999,11.8751
Cuenca Mediterránea Andaluza,Béznar,1,71.385,71.2275,67.813,73.9632
Cuenca Mediterránea Andaluza,Béznar,2,73.89916666666666,74.0575,69.6245,75.04775
Cuenca Mediterránea Andaluza,Béznar,3,76.604,76.41499999999999,72.7564,76.8962
Cuenca Mediterránea Andaluza,Béznar,4,79.56083333333333,77.36,75.34020000000001,77.9991
Cuenca Mediterránea Andaluza,Béznar,5,84.22090909090909,80.86428571428571,78.6986,80.05645
Cuenca Mediterránea Andaluza,Béznar,6,88.49199999999999,84.532,80.0198,80.1417
Cuenca Mediterránea Andaluza,Béznar,7,84.435,80.6625,77.1705,77.19845000000001
Cuenca Mediterránea Andaluza,Béznar,8,79.24555555555555,75.848,73.3965,73.64225
Cuenca Mediterránea Andaluza,Béznar,9,77.35888888888888,75.47,70.303,70.5101
Cuenca Mediterránea Andaluza,Béznar,10,73.81875,72.64,68.0187,69.00885
Cuenca Mediterránea Andaluza,Béznar,11,71.27666666666667,69.81,66.9805,69.32905
Cuenca Mediterránea Andaluza,Béznar,12,70.4388888888889,66.98,68.22619999999999,70.93469999999999
Cuenca Mediterránea Andaluza,Casasola,1,52.27,51.7025,49.546,49.557
Cuenca Mediterránea Andaluza,Casasola,2,56.05833333333334,52.27,52.273,50.81125
Cuenca Mediterránea Andaluza,Casasola,3,53.93933333333334,51.364,55.7279,54.45119999999999
Cuenca Mediterránea Andaluza,Casasola,4,60.60833333333333,56.82,59.184000000000005,56.069500000000005
Cuenca Mediterránea Andaluza,Casasola,5,63.63727272727272,56.49571428571429,63.2278,57.72165
Cuenca Mediterránea Andaluza,Casasola,6,65.45599999999999,54.55,63.6819,57.38345
Cuenca Mediterránea Andaluza,Casasola,7,63.64,54.55,61.818000000000005,55.14825
Cuenca Mediterránea Andaluza,Casasola,8,61.11333333333333,51.82000000000001,60.180400000000006,53.241949999999996
Cuenca Mediterránea Andaluza,Casasola,9,61.61777777777778,50.0,59.8624,52.36559999999999
Cuenca Mediterránea Andaluza,Casasola,10,56.82,50.0,57.272000000000006,49.75445
Cuenca Mediterránea Andaluza,Casasola,11,51.00888888888889,46.36,54.726,49.74525
Cuenca Mediterránea Andaluza,Casasola,12,50.50555555555556,45.45,48.8635,46.42655
Cuenca Mediterránea Andaluza,Charco Redondo,1,28.046666666666667,20.73,41.791399999999996,52.274300000000004
Cuenca Mediterránea Andaluza,Charco Redondo,2,29.266666666666666,23.322499999999998,42.072,53.23125
Cuenca Mediterránea Andaluza,Charco Redondo,3,33.33133333333333,30.974,49.8514,59.218849999999996
Cuenca Mediterránea Andaluza,Charco Redondo,4,40.24333333333333,41.91875,53.9625,62.97045000000001
Cuenca Mediterránea Andaluza,Charco Redondo,5,40.13272727272727,42.33142857142857,54.6828,62.9707
Cuenca Mediterránea Andaluza,Charco Redondo,6,37.073,37.8,53.8532,61.7263
Cuenca Mediterránea Andaluza,Charco Redondo,7,35.21625,35.9775,52.1837,59.36655
Cuenca Mediterránea Andaluza,Charco Redondo,8,29.81222222222222,29.758,47.354600000000005,54.3168
Cuenca Mediterránea Andaluza,Charco Redondo,9,24.932222222222222,25.61,42.438,49.951
Cuenca Mediterránea Andaluza,Charco Redondo,10,22.865000000000002,25.61,39.9736,47.615899999999996
Cuenca Mediterránea Andaluza,Charco Redondo,11,21.814444444444444,25.122,39.5344,47.5305
Cuenca Mediterránea Andaluza,Charco Redondo,12,20.052222222222223,22.560000000000002,38.7795,48.62215
Cuenca Mediterránea Andaluza,Concepción,1,53.49583333333333,54.0325,69.4677,70.8148
Cuenca Mediterránea Andaluza,Concepción,2,64.78500000000001,59.6775,76.372,75.32374999999999
Cuenca Mediterránea Andaluza,Concepción,3,71.72133333333333,68.388,86.4515,81.46039999999999
Cuenca Mediterránea Andaluza,Concepción,4,91.8025,92.74374999999999,92.0165,85.5808
Cuenca Mediterránea Andaluza,Concepción,5,93.9890909090909,94.24,92.1297,87.32300000000001
Cuenca Mediterránea Andaluza,Concepción,6,90.806,87.096,88.1769,84.86255
Cuenca Mediterránea Andaluza,Concepción,7,83.06375,78.225,79.7094,76.6776
Cuenca Mediterránea Andaluza,Concepción,8,72.94,68.064,69.8557,66.9117
Cuenca Mediterránea Andaluza,Concepción,9,65.05222222222223,59.2725,61.273199999999996,58.1288
Cuenca Mediterránea Andaluza,Concepción,10,57.46,52.8225,55.1768,52.44259999999999
Cuenca Mediterránea Andaluza,Concepción,11,52.50888888888889,47.096,54.9852,56.048849999999995
Cuenca Mediterránea Andaluza,Concepción,12,51.074444444444445,42.3425,55.4841,63.06445
Cuenca Mediterránea Andaluza,Conde Guadalhorce,1,50.37833333333333,40.90875,58.8318,64.34735
Cuenca Mediterránea Andaluza,Conde Guadalhorce,2,54.291666666666664,44.3175,62.726,67.499
Cuenca Mediterránea Andaluza,Conde Guadalhorce,3,61.212,53.787,71.6663,73.3104
Cuenca Mediterránea Andaluza,Conde Guadalhorce,4,82.44833333333334,83.1425,77.45439999999999,76.73505
Cuenca Mediterránea Andaluza,Conde Guadalhorce,5,82.91909090909091,82.25,77.8483,76.76505
Cuenca Mediterránea Andaluza,Conde Guadalhorce,6,74.394,65.456,73.2431,73.25059999999999
Cuenca Mediterránea Andaluza,Conde Guadalhorce,7,69.12875,60.985,67.2125,66.92425
Cuenca Mediterránea Andaluza,Conde Guadalhorce,8,60.27111111111112,53.638,57.6962,60.4692
Cuenca Mediterránea Andaluza,Conde Guadalhorce,9,50.16888888888889,39.015,47.8029,52.86375
Cuenca Mediterránea Andaluza,Conde Guadalhorce,10,40.72,29.925,44.7724,49.5229
Cuenca Mediterránea Andaluza,Conde Guadalhorce,11,35.85888888888889,25.758,48.9396,53.629200000000004
Cuenca Mediterránea Andaluza,Conde Guadalhorce,12,38.72,24.24,51.1216,57.90845
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,1,10.352500000000001,8.385,10.0375,12.12975
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,2,10.87,8.075,10.871500000000001,12.32975
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,3,11.842,9.068000000000001,11.3055,12.42275
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,4,17.287499999999998,16.14875,12.2303,12.773549999999998
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,5,19.085454545454546,18.277142857142856,12.7634,12.9378
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,6,16.27,13.412,12.16,12.27525
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,7,15.83625,13.817499999999999,11.6455,12.07665
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,8,14.422222222222224,12.296000000000001,10.9558,11.020399999999999
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,9,13.389999999999999,11.18,10.5151,10.71095
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,10,12.03375,10.56,10.4779,12.87295
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,11,10.353333333333333,9.196,9.446200000000001,12.0428
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,12,9.178888888888888,8.0725,8.9301,11.80595
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,1,60.7825,54.57,63.1542,72.8226
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,2,62.2475,55.60125,64.767,74.0595
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,3,61.64866666666667,54.622,67.803,76.5934
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,4,64.4275,57.93125,70.55699999999999,78.1961
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,5,66.34,59.395714285714284,71.1216,77.94405
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,6,67.634,59.712,68.6841,75.60725
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,7,63.35,55.645,65.1149,72.04155
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,8,58.662222222222226,51.470000000000006,61.73480000000001,68.5035
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,9,57.66555555555556,49.730000000000004,59.2898,65.44795
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,10,54.57,47.94,58.8168,64.99510000000001
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,11,52.72777777777778,45.662,60.6739,66.46985000000001
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,12,54.559999999999995,43.7275,61.5126,67.39205000000001
Cuenca Mediterránea Andaluza,Guadarranque,1,38.1625,33.5225,54.898300000000006,62.608799999999995
Cuenca Mediterránea Andaluza,Guadarranque,2,39.583333333333336,34.375,57.3865,65.767
Cuenca Mediterránea Andaluza,Guadarranque,3,46.21066666666666,44.886,67.5329,73.24965
Cuenca Mediterránea Andaluza,Guadarranque,4,54.92416666666667,57.386250000000004,71.0904,75.76105
Cuenca Mediterránea Andaluza,Guadarranque,5,55.47545454545455,58.93,70.6246,74.76685
Cuenca Mediterránea Andaluza,Guadarranque,6,49.773,54.32000000000001,66.3297,70.77305
Cuenca Mediterránea Andaluza,Guadarranque,7,44.31875,48.58,60.4091,65.35825
Cuenca Mediterránea Andaluza,Guadarranque,8,41.53888888888889,45.68,56.419200000000004,61.203500000000005
Cuenca Mediterránea Andaluza,Guadarranque,9,37.75333333333333,42.332499999999996,53.580999999999996,57.73924999999999
Cuenca Mediterránea Andaluza,Guadarranque,10,34.65875,38.0675,49.6819,53.790350000000004
Cuenca Mediterránea Andaluza,Guadarranque,11,31.817777777777778,33.86,46.8865,53.017100000000006
