ambito_nombre_x,embalse_nombre,volumen_medio_10,ambito_nombre_y,porcentaje_medio_10,ambito_nombre,provincia
Ebro,enciso,24.32941176470588,Ebro,52.89070588235294,Ebro,La Rioja
Ebro,escales,109.9649446494465,Ebro,72.34525830258302,Ebro,Huesca
Ebro,eúgui,15.99630996309963,Ebro,76.17178966789668,Ebro,Navarra
Ebro,gonzález lacasa,19.566420664206642,Ebro,59.2919926199262,Ebro,La Rioja
Ebro,"grado, el",345.22878228782287,Ebro,86.42590405904059,Ebro,Huesca
Ebro,guiamets,5.343173431734317,Ebro,53.43173431734317,Ebro,Tarragona
Ebro,ip,2.6531365313653135,Ebro,53.06273062730627,Ebro,Huesca
Ebro,irabia,8.789667896678967,Ebro,62.7830627306273,Ebro,Navarra
Ebro,itoiz,252.47970479704796,Ebro,60.54686346863469,Ebro,Navarra
Ebro,lanuza,9.498154981549815,Ebro,55.871937269372694,Ebro,Huesca
Ebro,las fitas,6.962809917355372,Ebro,77.36623966942149,Ebro,Huesca
Ebro,laverné,26.25206611570248,Ebro,69.08495867768596,Ebro,Zaragoza
Ebro,lechago,9.823529411764707,Ebro,54.57870588235295,Ebro,Teruel
Ebro,llauset,11.044280442804428,Ebro,64.96680811808119,Ebro,Huesca
Ebro,loteta (la),36.586715867158674,Ebro,35.17963099630997,Ebro,Zaragoza
Ebro,maidevera,12.285977859778598,Ebro,61.42988929889299,Ebro,Zaragoza
Ebro,mansilla,42.83394833948339,Ebro,62.99151291512916,Ebro,La Rioja
Ebro,mediano,256.48339483394835,Ebro,58.882601476014756,Ebro,Huesca
Ebro,mequinenza,1191.018450184502,Ebro,77.644963099631,Ebro,Zaragoza
Ebro,moneva,2.488929889298893,Ebro,31.111623616236162,Ebro,Zaragoza
Ebro,monteagudo,4.527675276752768,Ebro,45.276752767527675,Ebro,Soria
Ebro,montearagón,11.705882352941176,Ebro,22.509999999999998,Ebro,Huesca
Ebro,nagore,4.694117647058824,Ebro,93.88235294117646,Ebro,Navarra
Ebro,oliana,58.343173431734314,Ebro,68.51038745387453,Ebro,Lleida
Ebro,pajares,19.380073800738007,Ebro,55.371697416974165,Ebro,La Rioja
Ebro,parras (las),4.0,Ebro,80.0,Ebro,Teruel
Ebro,pena,12.326568265682656,Ebro,68.4809778597786,Ebro,Teruel
Ebro,"peña, la",11.525830258302584,Ebro,76.8390221402214,Ebro,Huesca
Ebro,puente de santolea,14.698347107438016,Ebro,81.65727272727273,Ebro,Teruel
Ebro,rialb,284.309963099631,Ebro,70.37356088560885,Ebro,Lleida
Ebro,ribarroja,201.30442804428046,Ebro,95.85964944649446,Ebro,Tarragona
Ebro,sallente,1.9612546125461254,Ebro,32.68763837638377,Ebro,Lleida
Ebro,san bartolomé,1.8099630996309963,Ebro,30.167638376383763,Ebro,Zaragoza
Ebro,san lorenzo,9.0,Ebro,90.0,Ebro,La Rioja
Ebro,san salvador,120.89411764705882,Ebro,88.24270588235294,Ebro,Huesca
Ebro,santa ana,150.22878228782287,Ebro,63.38776752767527,Ebro,Huesca
Ebro,santa maría de belsué,1.8929889298892988,Ebro,13.51950184501845,Ebro,Huesca
Ebro,santolea,27.59040590405904,Ebro,47.607177121771215,Ebro,Teruel
Ebro,sistema aguas limpias,8.559040590405903,Ebro,47.55066420664207,Ebro,Huesca
Ebro,sistema alto caldarés,7.357933579335794,Ebro,40.8769926199262,Ebro,Huesca
Ebro,sistema capdella,30.0,Ebro,60.0,Ebro,Lleida
Ebro,sistema escarra,2.918819188191882,Ebro,58.37638376383764,Ebro,Huesca
Ebro,sistema lagos espot,8.924354243542435,Ebro,89.24354243542436,Ebro,Lleida
Ebro,sistema valle de arán,11.891143911439114,Ebro,52.61361623616236,Ebro,Lleida
Ebro,sobrón,17.61070110701107,Ebro,88.05350553505535,Ebro,Burgos
Ebro,sotonera,134.71033210332104,Ebro,71.27562730627307,Ebro,Huesca
Ebro,terradets,26.088560885608857,Ebro,94.79226937269374,Ebro,Lleida
Ebro,terroba,1.0,Ebro,12.5,Ebro,La Rioja
Ebro,"torcas, las",4.090405904059041,Ebro,58.433763837638374,Ebro,Zaragoza
Ebro,"tranquera, la",49.343173431734314,Ebro,59.562490774907744,Ebro,Zaragoza
Ebro,tremp ó talárn,146.53136531365314,Ebro,68.14745387453874,Ebro,Lleida
Ebro,ullivarri,114.31180811808117,Ebro,78.2961070110701,Ebro,Álava
Ebro,urdalur,4.398523985239852,Ebro,74.88267527675278,Ebro,Navarra
Ebro,urdiceto,1.992619926199262,Ebro,39.85239852398524,Ebro,Huesca
Ebro,urrunaga,51.17158671586716,Ebro,71.07182656826568,Ebro,Álava
Ebro,vadiello,10.916974169741698,Ebro,68.23108856088561,Ebro,Huesca
Ebro,"val, el",17.824723247232473,Ebro,74.26953874538745,Ebro,Zaragoza
Ebro,valdepatao,0.9529411764705882,Ebro,15.885529411764708,Ebro,Huesca
Ebro,yesa,282.84132841328415,Ebro,63.27533210332104,Ebro,Navarra
Galicia Costa,barrie de la maza,15.444649446494465,Galicia Costa,49.82125461254612,Galicia Costa,La Coruña
Galicia Costa,cecebre,15.136531365313653,Galicia Costa,68.80265682656827,Galicia Costa,La Coruña
Galicia Costa,eiras,19.26568265682657,Galicia Costa,87.57101476014759,Galicia Costa,Pontevedra
Galicia Costa,eume,102.72878228782288,Galicia Costa,83.5190221402214,Galicia Costa,La Coruña
Galicia Costa,fervenza,62.78044280442804,Galicia Costa,60.951974169741696,Galicia Costa,La Coruña
Galicia Costa,"forcadas, as",8.636531365313653,Galicia Costa,78.5159594095941,Galicia Costa,La Coruña
Galicia Costa,portodemouros,215.93542435424354,Galicia Costa,72.70557195571955,Galicia Costa,Pontevedra
Galicia Costa,"ribeira, a",25.784132841328415,Galicia Costa,78.13535055350553,Galicia Costa,La Coruña
Galicia Costa,riocobo,4.125461254612546,Galicia Costa,68.75940959409594,Galicia Costa,Lugo
Galicia Costa,sta uxia,13.821033210332104,Galicia Costa,76.78326568265682,Galicia Costa,La Coruña
Galicia Costa,villagudín,14.6309963099631,Galicia Costa,81.2830811808118,Galicia Costa,La Coruña
Guadalete-Barbate,almodóvar,3.525830258302583,Guadalete-Barbate,58.7630073800738,Guadalete-Barbate,Cádiz
Guadalete-Barbate,arcos de la frontera,13.25830258302583,Guadalete-Barbate,94.70394833948339,Guadalete-Barbate,Cádiz
Guadalete-Barbate,barbate,127.10885608856088,Guadalete-Barbate,55.749391143911446,Guadalete-Barbate,Cádiz
Guadalete-Barbate,bornos,100.36162361623616,Guadalete-Barbate,50.18081180811808,Guadalete-Barbate,Cádiz
Guadalete-Barbate,celemín,25.105166051660518,Guadalete-Barbate,56.00372693726937,Guadalete-Barbate,Cádiz
Guadalete-Barbate,guadalcacín ii,489.01660516605165,Guadalete-Barbate,61.126900369003685,Guadalete-Barbate,Cádiz
Guadalete-Barbate,"hurones, los",89.52029520295203,Guadalete-Barbate,66.31149446494466,Guadalete-Barbate,Cádiz
Guadalete-Barbate,zahara-el gastor,161.73247232472326,Guadalete-Barbate,72.5260701107011,Guadalete-Barbate,Cádiz
Guadalquivir,agrio (aznalcollar),13.72140221402214,Guadalquivir,68.6070110701107,Guadalquivir,Sevilla
Guadalquivir,aguascebas,4.642066420664206,Guadalquivir,77.36835793357933,Guadalquivir,Jaén
Guadalquivir,alcalá del río,17.0,Guadalquivir,85.0,Guadalquivir,Sevilla
Guadalquivir,aracena,91.47970479704797,Guadalquivir,71.6479335793358,Guadalquivir,Huelva
Guadalquivir,arenoso,83.05535055350553,Guadalquivir,49.733856088560884,Guadalquivir,Córdoba
Guadalquivir,bembézar,209.12730627306274,Guadalquivir,61.14826568265683,Guadalquivir,Córdoba
Guadalquivir,bermejales,61.7140221402214,Guadalquivir,59.91660516605166,Guadalquivir,Granada
Guadalquivir,"bolera, la",26.178966789667896,Guadalquivir,49.39442804428044,Guadalquivir,Jaén
Guadalquivir,"breña ii, la",424.38376383763836,Guadalquivir,51.56535055350554,Guadalquivir,Córdoba
Guadalquivir,cala,28.642066420664207,Guadalquivir,48.54559040590406,Guadalquivir,Sevilla
Guadalquivir,canales,45.92250922509225,Guadalquivir,65.6039483394834,Guadalquivir,Granada
Guadalquivir,cantillana,14.0,Guadalquivir,100.0,Guadalquivir,Sevilla
Guadalquivir,"carpio, el",17.307692307692307,Guadalquivir,96.15076923076923,Guadalquivir,Córdoba
Guadalquivir,colomera,23.09040590405904,Guadalquivir,57.7260147601476,Guadalquivir,Granada
Guadalquivir,cordobilla,33.0,Guadalquivir,100.0,Guadalquivir,Córdoba
Guadalquivir,cubillas,12.361623616236162,Guadalquivir,68.74387453874539,Guadalquivir,Granada
Guadalquivir,derivación retortillo,3.9615384615384617,Guadalquivir,99.03846153846153,Guadalquivir,Córdoba
Guadalquivir,doña aldonza,23.0,Guadalquivir,100.0,Guadalquivir,Jaén
Guadalquivir,el portillo,27.518450184501845,Guadalquivir,83.39070110701107,Guadalquivir,Granada
Guadalquivir,encinarejo,12.23076923076923,Guadalquivir,81.53884615384617,Guadalquivir,Jaén
Guadalquivir,"fernandina, la",135.73616236162363,Guadalquivir,55.402490774907754,Guadalquivir,Jaén
Guadalquivir,francisco abellán,30.092250922509226,Guadalquivir,51.88313653136532,Guadalquivir,Granada
Guadalquivir,fresneda,8.84870848708487,Guadalquivir,68.06726937269373,Guadalquivir,Ciudad Real
Guadalquivir,gergal,28.570110701107012,Guadalquivir,81.6290036900369,Guadalquivir,Sevilla
Guadalquivir,giribaile,221.1328413284133,Guadalquivir,46.554206642066426,Guadalquivir,Jaén
Guadalquivir,guadalmellato,94.11439114391143,Guadalquivir,64.02372693726937,Guadalquivir,Córdoba
Guadalquivir,guadalmena,211.0110701107011,Guadalquivir,60.81022140221402,Guadalquivir,Jaén
Guadalquivir,guadalén,87.23062730627306,Guadalquivir,51.92298892988929,Guadalquivir,Jaén
Guadalquivir,hornachuelos,11.538461538461538,Guadalquivir,96.15461538461538,Guadalquivir,Córdoba
Guadalquivir,huesna,96.119926199262,Guadalquivir,71.19977859778598,Guadalquivir,Sevilla
Guadalquivir,iznájar,552.8081180811809,Guadalquivir,56.35132841328413,Guadalquivir,Córdoba
Guadalquivir,josé torán,65.2140221402214,Guadalquivir,57.71208487084871,Guadalquivir,Sevilla
Guadalquivir,jándula,168.84132841328415,Guadalquivir,52.4349446494465,Guadalquivir,Jaén
Guadalquivir,malpasillo ( jauja ),6.0,Guadalquivir,100.0,Guadalquivir,Córdoba
Guadalquivir,marmolejo,9.153846153846153,Guadalquivir,91.53846153846153,Guadalquivir,Córdoba
Guadalquivir,martín gonzalo,12.378228782287822,Guadalquivir,68.76800738007381,Guadalquivir,Córdoba
Guadalquivir,"melonares, los",157.83579335793357,Guadalquivir,84.85778597785978,Guadalquivir,Sevilla
Guadalquivir,"minilla, la",44.404059040590404,Guadalquivir,76.55881918819188,Guadalquivir,Sevilla
Guadalquivir,montoro,79.23062730627306,Guadalquivir,75.45767527675277,Guadalquivir,Ciudad Real
Guadalquivir,negratín,303.359778597786,Guadalquivir,53.50252767527675,Guadalquivir,Granada
Guadalquivir,pedro marín,18.384615384615383,Guadalquivir,96.7626923076923,Guadalquivir,Jaén
Guadalquivir,"pintado, el",144.03136531365314,Guadalquivir,67.6200922509225,Guadalquivir,Sevilla
Guadalquivir,puebla de cazalla,29.328413284132843,Guadalquivir,39.632656826568265,Guadalquivir,Sevilla
Guadalquivir,puente nuevo,152.3118081180812,Guadalquivir,54.01119926199262,Guadalquivir,Córdoba
Guadalquivir,quiebrajano,17.952029520295202,Guadalquivir,56.10079335793358,Guadalquivir,Jaén
Guadalquivir,quéntar,9.84870848708487,Guadalquivir,70.34747232472326,Guadalquivir,Granada
Guadalquivir,retortillo,39.488929889298895,Guadalquivir,64.73636531365314,Guadalquivir,Córdoba
Guadalquivir,rumblar,70.56088560885608,Guadalquivir,56.00075645756458,Guadalquivir,Jaén
Guadalquivir,san clemente,21.870848708487085,Guadalquivir,18.534464944649446,Guadalquivir,Granada
Guadalquivir,san rafael de navallana,83.77859778597787,Guadalquivir,53.36197416974169,Guadalquivir,Córdoba
Guadalquivir,sierra boyera,26.512915129151292,Guadalquivir,64.66557195571956,Guadalquivir,Córdoba
Guadalquivir,siles,21.312925170068027,Guadalquivir,71.04312925170068,Guadalquivir,Jaén
Guadalquivir,torre del águila,21.077490774907748,Guadalquivir,36.51457564575646,Guadalquivir,Sevilla
Guadalquivir,tranco de beas,302.0959409594096,Guadalquivir,60.66177121771218,Guadalquivir,Jaén
Guadalquivir,vadomojón,88.88929889298893,Guadalquivir,54.53374538745388,Guadalquivir,Córdoba
Guadalquivir,víboras,9.250922509225092,Guadalquivir,48.68909594095941,Guadalquivir,Jaén
Guadalquivir,yeguas,122.92435424354244,Guadalquivir,53.678653136531366,Guadalquivir,Córdoba
Guadalquivir,zocueca,1.0,Guadalquivir,20.0,Guadalquivir,Jaén
Guadalquivir,zufre,133.22693726937268,Guadalquivir,76.12979704797047,Guadalquivir,Huelva
Guadiana,"aguijón, el",9.863468634686347,Guadiana,89.6689298892989,Guadiana,Badajoz
Guadiana,alange,424.76937269372695,Guadiana,49.855940959409594,Guadiana,Badajoz
Guadiana,alcollarín,13.272727272727273,Guadiana,25.523636363636363,Guadiana,Cáceres
Guadiana,andévalo,466.6005025125628,Guadiana,73.5960552763819,Guadiana,Huelva
Guadiana,boquerón,4.5,Guadiana,75.00035055350554,Guadiana,Badajoz
Guadiana,brovales,5.4206642066420665,Guadiana,77.43680811808117,Guadiana,Badajoz
Guadiana,búrdalo,14.969696969696969,Guadiana,18.95151515151515,Guadiana,Cáceres
Guadiana,canchales,17.854243542435423,Guadiana,68.66950184501846,Guadiana,Badajoz
Guadiana,cancho del fresno,11.029520295202952,Guadiana,73.52985239852399,Guadiana,Cáceres
Guadiana,castilseras,4.425992779783393,Guadiana,88.51985559566786,Guadiana,Ciudad Real
Guadiana,chanza,197.8690036900369,Guadiana,58.026125461254615,Guadiana,Huelva
Guadiana,cijara,795.2749077490774,Guadiana,52.84236162361624,Guadiana,Badajoz
Guadiana,cornalbo,1.1642066420664208,Guadiana,10.582638376383764,Guadiana,Badajoz
Guadiana,cubilar,3.819188191881919,Guadiana,38.191881918819185,Guadiana,Cáceres
Guadiana,el vicario,14.974169741697416,Guadiana,46.79389298892989,Guadiana,Ciudad Real
Guadiana,garcía de sola,312.2472324723247,Guadiana,56.362250922509226,Guadiana,Badajoz
Guadiana,gargáligas,14.525830258302584,Guadiana,69.170110701107,Guadiana,Badajoz
Guadiana,gasset,17.863468634686345,Guadiana,42.53138376383764,Guadiana,Ciudad Real
Guadiana,horno tejero,20.79520295202952,Guadiana,86.64667896678966,Guadiana,Badajoz
Guadiana,la cabezuela,23.522140221402214,Guadiana,54.70226937269373,Guadiana,Ciudad Real
Guadiana,la serena,1772.8856088560885,Guadiana,55.07568265682657,Guadiana,Badajoz
Guadiana,llerena,7.239852398523985,Guadiana,80.44472324723247,Guadiana,Badajoz
Guadiana,los molinos,28.756457564575644,Guadiana,84.57832103321033,Guadiana,Badajoz
Guadiana,montijo,9.81549815498155,Guadiana,89.23177121771218,Guadiana,Badajoz
Guadiana,nogales,12.511070110701107,Guadiana,83.40715867158671,Guadiana,Badajoz
Guadiana,orellana,581.5590405904059,Guadiana,71.97479704797047,Guadiana,Badajoz
Guadiana,peñarroya,39.71955719557196,Guadiana,78.51503690036901,Guadiana,Ciudad Real
Guadiana,piedra aguda,10.763837638376383,Guadiana,67.2739852398524,Guadiana,Badajoz
Guadiana,proserpina,4.049815498154982,Guadiana,83.5239852398524,Guadiana,Badajoz
Guadiana,pto. vallehermoso,5.354243542435424,Guadiana,76.48763837638377,Guadiana,Ciudad Real
Guadiana,ruecas,30.2380073800738,Guadiana,68.72273062730628,Guadiana,Cáceres
Guadiana,sierra brava,150.45940959409594,Guadiana,64.57487084870849,Guadiana,Cáceres
Guadiana,tentudia,3.3339483394833946,Guadiana,66.6789667896679,Guadiana,Badajoz
Guadiana,torre de abrahán,73.93542435424354,Guadiana,40.401771217712174,Guadiana,Ciudad Real
Guadiana,valuengo,14.881918819188192,Guadiana,74.40959409594096,Guadiana,Badajoz
Guadiana,vega del jabalón,16.29520295202952,Guadiana,47.92726937269373,Guadiana,Ciudad Real
Guadiana,villalba de los barros,77.63636363636364,Guadiana,73.23939393939395,Guadiana,Badajoz
Guadiana,villar del rey,89.61439114391143,Guadiana,68.4088745387454,Guadiana,Badajoz
Guadiana,zújar,242.760147601476,Guadiana,80.14926199261993,Guadiana,Badajoz
Júcar,alarcón,562.5848708487085,Júcar,50.320590405904056,Júcar,Cuenca
Júcar,algar,0.1992619926199262,Júcar,3.3216236162361628,Júcar,Valencia
Júcar,amadorio,6.828413284132841,Júcar,42.67758302583026,Júcar,Alicante
Júcar,arenós,58.02767527675277,Júcar,42.358653136531366,Júcar,Castellón
Júcar,arquillo de san blas,15.01660516605166,Júcar,71.5070295202952,Júcar,Teruel
Júcar,bellús,12.398523985239853,Júcar,17.968708487084868,Júcar,Valencia
Júcar,benagéber,116.82472324723247,Júcar,52.8619926199262,Júcar,Valencia
Júcar,beniarrés,14.44280442804428,Júcar,53.4920479704797,Júcar,Alicante
Júcar,buseo,3.208487084870849,Júcar,40.10608856088561,Júcar,Valencia
