ambito_nombre,embalse_nombre,mes,2020,2021,media_5,media_10
Cantábrico Oriental,Añarbe,3,31.133333333333333,30.5,32.260000000000005,32.839999999999996
Cantábrico Oriental,Añarbe,4,31.666666666666668,30.25,32.25,33.03
Cantábrico Oriental,Añarbe,5,32.18181818181818,30.714285714285715,32.14,32.989999999999995
Cantábrico Oriental,Añarbe,6,30.6,28.2,32.04,32.785000000000004
Cantábrico Oriental,Añarbe,7,29.75,29.5,30.860000000000003,31.625
Cantábrico Oriental,Añarbe,8,29.555555555555557,29.8,29.73,30.064999999999998
Cantábrico Oriental,Añarbe,9,27.88888888888889,28.25,28.869999999999997,28.764999999999997
Cantábrico Oriental,Añarbe,10,30.125,28.0,28.85,28.07
Cantábrico Oriental,Añarbe,11,30.444444444444443,29.4,30.43,29.24
Cantábrico Oriental,Añarbe,12,30.11111111111111,30.25,30.639999999999997,31.195
Cantábrico Oriental,Ibiur,1,7.666666666666667,8.0,6.88,6.404999999999999
Cantábrico Oriental,Ibiur,2,7.5,7.75,7.55,7.1
Cantábrico Oriental,Ibiur,3,7.466666666666667,7.5,7.409999999999999,7.325
Cantábrico Oriental,Ibiur,4,7.416666666666667,7.5,7.25,7.37
Cantábrico Oriental,Ibiur,5,7.545454545454546,7.285714285714286,7.4,7.390000000000001
Cantábrico Oriental,Ibiur,6,7.1,7.0,7.090000000000001,7.1450000000000005
Cantábrico Oriental,Ibiur,7,6.75,6.5,6.62,6.775
Cantábrico Oriental,Ibiur,8,6.333333333333333,6.0,6.3100000000000005,6.39
Cantábrico Oriental,Ibiur,9,6.0,6.0,6.0,6.075
Cantábrico Oriental,Ibiur,10,5.5,5.0,5.5200000000000005,5.505
Cantábrico Oriental,Ibiur,11,5.555555555555555,5.2,5.6899999999999995,5.470000000000001
Cantábrico Oriental,Ibiur,12,7.0,7.5,6.5200000000000005,6.3149999999999995
Cantábrico Oriental,Ordunte,1,21.583333333333332,21.75,18.93,18.375
Cantábrico Oriental,Ordunte,2,20.916666666666668,21.25,21.5,20.875
Cantábrico Oriental,Ordunte,3,21.666666666666668,21.7,21.77,21.805
Cantábrico Oriental,Ordunte,4,21.666666666666668,21.5,21.68,21.84
Cantábrico Oriental,Ordunte,5,20.636363636363637,20.0,20.869999999999997,21.294999999999998
Cantábrico Oriental,Ordunte,6,18.4,17.0,19.61,20.025
Cantábrico Oriental,Ordunte,7,16.625,16.25,17.91,18.425
Cantábrico Oriental,Ordunte,8,14.88888888888889,14.2,16.03,16.61
Cantábrico Oriental,Ordunte,9,13.222222222222221,12.5,14.209999999999999,14.680000000000001
Cantábrico Oriental,Ordunte,10,13.0,11.0,13.12,12.855
Cantábrico Oriental,Ordunte,11,13.555555555555555,10.8,13.86,12.775
Cantábrico Oriental,Ordunte,12,20.666666666666668,22.0,19.43,17.244999999999997
Cantábrico Oriental,San Antón,1,5.0,5.0,5.0,5.0
Cantábrico Oriental,San Antón,2,4.75,4.875,4.85,4.925
Cantábrico Oriental,San Antón,3,4.933333333333334,5.0,4.96,4.9799999999999995
Cantábrico Oriental,San Antón,4,5.0,5.0,5.0,5.0
Cantábrico Oriental,San Antón,5,4.636363636363637,4.428571428571429,4.7,4.85
Cantábrico Oriental,San Antón,6,4.5,4.0,4.8,4.9
Cantábrico Oriental,San Antón,7,4.375,4.0,4.6,4.74
Cantábrico Oriental,San Antón,8,4.111111111111111,4.0,4.3,4.425
Cantábrico Oriental,San Antón,9,4.0,4.0,4.2,4.09
Cantábrico Oriental,San Antón,10,4.25,4.0,4.3,4.15
Cantábrico Oriental,San Antón,11,4.777777777777778,4.6,4.67,4.45
Cantábrico Oriental,San Antón,12,5.0,5.0,4.85,4.86
Cuenca Mediterránea Andaluza,Benínar,1,5.916666666666667,5.375,7.95,8.3
Cuenca Mediterránea Andaluza,Benínar,2,6.333333333333333,6.0,8.55,8.65
Cuenca Mediterránea Andaluza,Benínar,3,6.533333333333333,6.3,9.45,9.22
Cuenca Mediterránea Andaluza,Benínar,4,8.0,8.5,9.8,9.725
Cuenca Mediterránea Andaluza,Benínar,5,9.090909090909092,10.285714285714286,10.33,9.78
Cuenca Mediterránea Andaluza,Benínar,6,6.6,6.8,9.99,9.22
Cuenca Mediterránea Andaluza,Benínar,7,6.0,6.0,8.959999999999999,8.14
Cuenca Mediterránea Andaluza,Benínar,8,5.777777777777778,6.0,8.32,7.359999999999999
Cuenca Mediterránea Andaluza,Benínar,9,5.222222222222222,5.5,7.5,6.725
Cuenca Mediterránea Andaluza,Benínar,10,5.0,5.0,7.040000000000001,6.5
Cuenca Mediterránea Andaluza,Benínar,11,5.0,5.0,7.05,6.92
Cuenca Mediterránea Andaluza,Benínar,12,5.0,5.0,7.1,7.43
Cuenca Mediterránea Andaluza,Béznar,1,37.833333333333336,37.75,35.94,39.2
Cuenca Mediterránea Andaluza,Béznar,2,39.166666666666664,39.25,36.9,39.775
Cuenca Mediterránea Andaluza,Béznar,3,40.6,40.5,38.56,40.755
Cuenca Mediterránea Andaluza,Béznar,4,42.166666666666664,41.0,39.93,41.339999999999996
Cuenca Mediterránea Andaluza,Béznar,5,44.63636363636363,42.857142857142854,41.71,42.43
Cuenca Mediterránea Andaluza,Béznar,6,46.9,44.8,42.410000000000004,42.475
Cuenca Mediterránea Andaluza,Béznar,7,44.75,42.75,40.9,40.915
Cuenca Mediterránea Andaluza,Béznar,8,42.0,40.2,38.9,39.03
Cuenca Mediterránea Andaluza,Béznar,9,41.0,40.0,37.260000000000005,37.37
